Player,Profile_URL,Singles_Wins,Singles_Losses,Doubles_Wins,Doubles_Losses,Last_Updated
Gianluca Ballotta,https://uclabruins.com/sports/mens-tennis/roster/gianluca-ballotta/15452,4-4,0-0,4-4,0-0,2026-01-03T16:52:26.139502
Cassius Chinlund,https://uclabruins.com/sports/mens-tennis/roster/cassius-chinlund/15453,4-1,0-0,4-1,0-0,2026-01-03T16:52:26.139502
Andrei Crabel,https://uclabruins.com/sports/mens-tennis/roster/andrei-crabel/15454,2-2,0-0,2-2,0-0,2026-01-03T16:52:26.139502
Spencer Johnson,https://uclabruins.com/sports/mens-tennis/roster/spencer-johnson/15455,5-3,0-0,5-3,0-0,2026-01-03T16:52:26.139502
Andy Nguyen,https://uclabruins.com/sports/mens-tennis/roster/andy-nguyen/15460,2-3,0-0,2-3,0-0,2026-01-03T16:52:26.139502
Rudy Quan,https://uclabruins.com/sports/mens-tennis/roster/rudy-quan/15456,5-1,0-0,5-1,0-0,2026-01-03T16:52:26.139502
Bengt Reinhard,https://uclabruins.com/sports/mens-tennis/roster/bengt-reinhard/15461,4-5,0-0,4-5,0-0,2026-01-03T16:52:26.139502
Aadarsh Tripathi,https://uclabruins.com/sports/mens-tennis/roster/aadarsh-tripathi/15457,4-3,0-0,4-3,0-0,2026-01-03T16:52:26.139502
Emon van Loben Sels,https://uclabruins.com/sports/mens-tennis/roster/emon-van-loben-sels/15458,7-4,0-0,7-4,0-0,2026-01-03T16:52:26.139502
Leo von Bismarck,https://uclabruins.com/sports/mens-tennis/roster/leo-von-bismarck/15459,,,,,2026-01-03T16:52:26.139502
