Date,Time,At,Opponent,Location,Tournament,Result,Last_Updated
Sep 20 (Sat),,Neutral,ITA All-American Championships,"Tulsa, Okla. (Micheal D. Case Tennis Center)",,N -,2026-01-03T16:52:22.695363
Sep 26 (Fri),,Neutral,Sherwood Collegiate Cup,"Thousand Oaks, Calif. (Sherwood Country Club)",,N -,2026-01-03T16:52:22.695363
Oct 16 (Thu),,Neutral,ITA Regional Championships,"Tempe, Ariz. (Kiwanis Tennis Center)",,N -,2026-01-03T16:52:22.695363
Oct 31 (Fri),,Neutral,Dennis Rizza Intercollegiate Classic,"Rolling Hills Estates, Calif. (Jack Kramer Club)",,N -,2026-01-03T16:52:22.695363
Nov 6 (Thu),,Neutral,ITA Conference Masters Championships,"San Diego, Calif. (Barnes Tennis Center)",,N -,2026-01-03T16:52:22.695363
Nov 6 (Thu),,Neutral,ITA Sectional Championships,"Berkeley, Calif. (Hellman Tennis Complex)",,N -,2026-01-03T16:52:22.695363
Nov 18 (Tue),,Neutral,NCAA Singles & Doubles Championships,"Orlando, Fla. (USTA National Campus)",,N -,2026-01-03T16:52:22.695363
Jan 17 (Sat),1:00 PM (PT),Home,UC Irvine,"Los Angeles, Calif. (Los Angeles Tennis Center)",,-,2026-01-03T16:52:22.695363
Jan 23 (Fri),1:00 PM (PT),Home,New Mexico,"Los Angeles, Calif. (Los Angeles Tennis Center)",ITA Kickoff Weekend,-,2026-01-03T16:52:22.695363
Jan 24 (Sat),TBA,Home,UC Santa Barbara or Pacific,"Los Angeles, Calif. (Los Angeles Tennis Center)",ITA Kickoff Weekend,-,2026-01-03T16:52:22.695363
Jan 31 (Sat),12:00 PM (PT),Away,Stanford,"Stanford, Calif. (Arrillaga Tennis Center)",,-,2026-01-03T16:52:22.695363
Feb 1 (Sun),12:00 PM (PT),Away,California,"Berkeley, Calif. (Hellman Tennis Complex)",,-,2026-01-03T16:52:22.695363
Feb 7 (Sat),2:00 PM (PT),Away,Pepperdine,"Malibu, Calif. (Ralphs-Straus Tennis Center)",,-,2026-01-03T16:52:22.695363
Feb 13 (Fri),TBA,Neutral,ITA National Team Indoor Championship,"Dallas, Texas & Waco, Texas",ITA National Team Indoor Championship,-,2026-01-03T16:52:22.695363
Feb 21 (Sat),1:00 PM (PT),Away,USC,"Los Angeles, Calif. (David X. Marks Tennis Stadium )",,-,2026-01-03T16:52:22.695363
Feb 26 (Thu),All Day,Neutral,Pacific Coast Doubles Championship,"La Jolla, Calif. (La Jolla Beach & Tennis Club)",Pacific Coast Doubles Championship,-,2026-01-03T16:52:22.695363
Feb 26 (Thu),12:00 PM (PT),Away,San Diego,"San Diego, Calif. (Skip and Cindy Hogan Tennis Center)",,-,2026-01-03T16:52:22.695363
Mar 6 (Fri),3:00 PM (PT),Away,Indiana,"Bloomington, Ind. (IU Tennis Center)",,-,2026-01-03T16:52:22.695363
Mar 8 (Sun),8:00 AM (PT),Away,Purdue,"West Lafayette, Ind. (Schwartz Tennis Center)",,-,2026-01-03T16:52:22.695363
Mar 13 (Fri),3:00 PM (PT),Home,USC,"Los Angeles, Calif. (Los Angeles Tennis Center)",,-,2026-01-03T16:52:22.695363
Mar 20 (Fri),2:00 PM (PT),Home,Wisconsin,"Los Angeles, Calif. (Los Angeles Tennis Center)",,-,2026-01-03T16:52:22.695363
Mar 22 (Sun),12:00 PM (PT),Home,Nebraska,"Los Angeles, Calif. (Los Angeles Tennis Center)",,-,2026-01-03T16:52:22.695363
Mar 27 (Fri),3:00 PM (PT),Away,Michigan,"Ann Arbor, Mich. (Varsity Tennis Center)",,-,2026-01-03T16:52:22.695363
Mar 29 (Sun),9:00 AM (PT),Away,Michigan State,"East Lansing, Mich. (MSU Tennis Center)",,-,2026-01-03T16:52:22.695363
Apr 3 (Fri),4:00 PM (PT),Home,Ohio State,"Los Angeles, Calif. (Los Angeles Tennis Center)",,-,2026-01-03T16:52:22.695363
Apr 4 (Sat),3:00 PM (PT),Home,Penn State,"Los Angeles, Calif. (Los Angeles Tennis Center)",,-,2026-01-03T16:52:22.695363
Apr 11 (Sat),12:00 PM (PT),Home,Illinois,"Los Angeles, Calif. (Los Angeles Tennis Center)",,-,2026-01-03T16:52:22.695363
Apr 12 (Sun),11:00 AM (PT),Home,Northwestern,"Los Angeles, Calif. (Los Angeles Tennis Center)",,-,2026-01-03T16:52:22.695363
Apr 17 (Fri),3:00 PM (PT),Away,Oregon,"Eugene, Ore. (Student Tennis Center)",,-,2026-01-03T16:52:22.695363
Apr 19 (Sun),12:00 PM (PT),Away,Washington,"Seattle, Wash. (Lloyd Nordstrom Tennis Center)",,-,2026-01-03T16:52:22.695363
Apr 23 (Thu),TBA,Neutral,Big Ten Tournament,"Ojai, Calif. (Libbey Park)",Big Ten Tournament,-,2026-01-03T16:52:22.695363
May 1 (Fri),TBA,Neutral,NCAA First and Second Rounds,,NCAA Championship,-,2026-01-03T16:52:22.695363
May 8 (Fri),TBA,Neutral,NCAA Super Regionals,,NCAA Championship,-,2026-01-03T16:52:22.695363
May 14 (Thu),TBA,Neutral,NCAA Championship,"Athens, Ga. (Dan Magill Tennis Complex)",NCAA Championship,-,2026-01-03T16:52:22.695363
